title,price_gbp,price_inr,rating,in_stock,category
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.0,3798.0,2,True,History
Patience,10.0,1055.0,3,True,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.0,1582.5,4,True,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.0,5064.0,1,True,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,46.0,4853.0,1,True,Self Help
On a Midnight Clear,14.0,1477.0,3,True,Add a comment
Obsidian (Lux #1),14.0,1477.0,2,True,Young Adult
My Paris Kitchen: Recipes and Stories,33.0,3481.5,2,True,Food and Drink
Masks and Shadows,56.0,5908.0,2,True,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.0,1477.0,4,True,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.0,4853.0,2,True,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.0,4747.5,3,True,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.0,2004.5,2,True,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",40.0,4220.0,1,True,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.0,5591.5,2,True,Add a comment
Join,35.0,3692.5,5,True,Science Fiction
In the Country We Love: My Family Divided,22.0,2321.0,4,True,Nonfiction
